name,year,runtime,agerating,summary,userrating,noofusers,metascore,director,star1,star2,star3
Inception,2010,2h 28m,PG-13,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",8.8,"2,502,859",74,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page
Interstellar,2014,2h 49m,PG-13,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",8.7,"2,034,908",74,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,8.9,"1,971,234",92,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom
The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,9.0,"1,944,212",94,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen
The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",8.8,"1,752,936",87,Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen
Gladiator,2000,2h 35m,R,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,8.5,"1,589,183",67,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen
Inglourious Basterds,2009,2h 33m,R,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",8.4,"1,551,269",69,Quentin Tarantino,Brad Pitt,Diane Kruger,Eli Roth
Star Wars: Episode IV - A New Hope,1977,2h 1m,PG,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",8.6,"1,429,567",90,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher
Avatar,2009,2h 42m,PG-13,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,7.9,"1,370,170",83,James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver
Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",8.7,"1,358,842",82,Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher
Back to the Future,1985,1h 56m,PG,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",8.5,"1,283,203",87,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson
Guardians of the Galaxy,2014,2h 1m,PG-13,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,8.0,"1,256,482",76,James Gunn,Chris Pratt,Vin Diesel,Bradley Cooper
Avengers: Endgame,2019,3h 1m,PG-13,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",8.4,"1,237,351",78,Anthony Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo
Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",8.1,"1,189,824",63,Gore Verbinski,Johnny Depp,Geoffrey Rush,Orlando Bloom
WALL·E,2008,1h 38m,G,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",8.4,"1,179,965",95,Andrew Stanton,Ben Burtt,Elissa Knight,Jeff Garlin
Avengers: Infinity War,2018,2h 29m,PG-13,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,8.4,"1,176,310",68,Anthony Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo
The Lion King,1994,1h 28m,G,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",8.5,"1,122,214",88,Roger Allers,Matthew Broderick,Jeremy Irons,James Earl Jones
Iron Man,2008,2h 6m,PG-13,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",7.9,"1,109,680",79,Jon Favreau,Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard
Up,2009,1h 36m,PG,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",8.3,"1,105,629",88,Pete Docter,Edward Asner,Jordan Nagai,John Ratzenberger
Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,PG,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.",8.3,"1,105,516",58,Richard Marquand,Mark Hamill,Harrison Ford,Carrie Fisher
